timestamp,cpu_percent,memory_usage_mb,memory_percent,response_time_ms,status
2026-05-09 06:57:54,100.81,1018,99.41,6,unhealthy
2026-05-09 06:58:01,100.77,1024,100.00,1059,healthy
2026-05-09 06:58:08,0.00,23.31,2.28,1145,healthy
2026-05-09 06:58:12,0.00,11,100.00,16,unhealthy
2026-05-09 06:58:18,0.00,11,100.00,15,unhealthy
2026-05-09 06:58:24,102.51,1024,100.00,136,unhealthy
2026-05-09 06:58:28,0.00,11,100.00,14,unhealthy
2026-05-09 06:58:34,101.79,1024,100.00,677,unhealthy
2026-05-09 06:58:37,0.00,11,100.00,14,unhealthy
2026-05-09 06:58:41,0.00,11,100.00,11,unhealthy
2026-05-09 06:58:46,100.88,1024,100.00,11,unhealthy
2026-05-09 06:58:49,0.00,11,100.00,13,unhealthy
2026-05-09 06:58:53,0.00,11,100.00,15,unhealthy
2026-05-09 06:58:56,0.00,11,100.00,16,unhealthy
2026-05-09 06:58:59,0.00,11,100.00,8,unhealthy
2026-05-09 06:59:05,4.43,23.35,2.28,18,healthy
2026-05-09 06:59:10,94.74,1019,99.51,79,healthy
2026-05-09 06:59:16,0.03,23.3,2.28,25,healthy
2026-05-09 06:59:22,50.42,227.7,22.24,286,healthy
2026-05-09 06:59:28,41.95,292.1,28.53,430,healthy
2026-05-09 06:59:34,99.91,645.4,63.03,811,healthy
2026-05-09 06:59:39,63.49,439.2,42.89,490,healthy
2026-05-09 06:59:45,100.43,836.1,81.65,509,healthy
2026-05-09 06:59:49,0.00,11,100.00,15,unhealthy
2026-05-09 06:59:55,101.94,1024,100.00,188,unhealthy
2026-05-09 06:59:58,0.00,11,100.00,14,unhealthy
2026-05-09 07:00:04,101.44,1024,100.00,25,unhealthy
2026-05-09 07:00:07,0.00,11,100.00,15,unhealthy
2026-05-09 07:00:11,0.00,11,100.00,13,unhealthy
2026-05-09 07:00:16,100.05,1012,98.83,11,unhealthy
2026-05-09 07:00:19,0.00,11,100.00,18,unhealthy
2026-05-09 07:00:23,0.00,11,100.00,13,unhealthy
2026-05-09 07:00:26,0.00,11,100.00,14,unhealthy
2026-05-09 07:00:29,0.00,11,100.00,10,healthy
2026-05-09 07:00:35,5.28,23.61,2.31,16,healthy
2026-05-09 07:00:41,93.34,1024,100.00,448,healthy
2026-05-09 07:00:48,100.78,1023,99.90,569,healthy
2026-05-09 07:00:54,94.77,1024,100.00,342,healthy
2026-05-09 07:01:00,81.54,867.9,84.76,616,healthy
2026-05-09 07:01:07,101.49,1024,100.00,435,healthy
2026-05-09 07:01:13,99.11,1024,100.00,703,healthy
2026-05-09 07:01:16,0.00,11,100.00,23,unhealthy
2026-05-09 07:01:22,87.11,971.3,94.85,155,healthy
2026-05-09 07:01:25,0.00,11,100.00,20,unhealthy
2026-05-09 07:01:29,0.00,11,100.00,15,unhealthy
2026-05-09 07:01:34,20.84,95.96,9.37,159,healthy
2026-05-09 07:01:40,0.00,11,100.00,21,unhealthy
2026-05-09 07:01:43,0.00,11,100.00,14,unhealthy
2026-05-09 07:01:47,0.00,11,100.00,21,unhealthy
2026-05-09 07:01:50,0.00,11,100.00,14,unhealthy
2026-05-09 07:01:56,0.03,23.31,2.28,16,healthy
2026-05-09 07:02:02,100.86,886.7,86.59,738,healthy
2026-05-09 07:02:08,100.86,773.9,75.58,364,healthy
2026-05-09 07:02:13,71.28,428.7,41.87,290,healthy
2026-05-09 07:02:19,102.16,548.3,53.54,1169,healthy
2026-05-09 07:02:26,100.49,996.8,97.34,753,healthy
2026-05-09 07:02:29,0.00,11,100.00,13,unhealthy
2026-05-09 07:02:35,0.00,11,100.00,20,unhealthy
2026-05-09 07:02:39,36.63,241.3,23.56,327,healthy
2026-05-09 07:02:43,0.00,11,100.00,15,unhealthy
